Paper URL,Author Feedback
https://papers.miccai.org/miccai-2024/001-Paper1861.html,"We thank the reviewers for their valuable comments, time and effort. We thank them for recognising the convincing results at a large scale and the novel use of the data.
R1-W1: âClinical significance - Does detailed 3D information really add value to the management/treatment of scoliosis patients?â  The analysis of spine in 3D is relatively new but the introduction of EOS scanners has shown that 3D is valuable for clinical management of patients. Crucially only in 3D, the effect of brace surgical treatment can be better evaluated [1] which impacts a patientâs overall response to treatment.
R1-W2a: âMore experiments in order to prove that the proposed framework was indeed the optimal designâ. We explored several architectures and found that a lightweight transformer with ResNet backbone gave the best pixel-wise regression performance (Table 1).  We will include a discussion of the models investigated in the final version. In line with our work, [2] showed that a lightweight transformer model using significantly less parameters also surpasses CNN-based and Vision Transformer (ViT) models on the Synapse dataset, SegPC, and ISIC 2017 dataset.
R1-W2b: âWhy 3 curves used instead of just one?â. We employ this design choice to predict spine masks. This is important as scoliosis is known to involve deformities due to vertebral axial rotation [3]. This will enable future work into understanding the effect of compression in scoliosis and potentially lead to tailored physiotherapeutic treatment.

R1-W3: âAre coronal and sagittal regressions learned together or separately?â  There is a single model, with two separate heads: a coronal and a sagittal head that produce 3 curves each. We agree that showing regression curves results in Table 1 separately for the coronal and sagittal plane could give a misleading impression. We will edit the paper to rectify this.

R3-W1: âIncremental nature of the workâ. As far as we know, we are the first to regress 3D patient-specific spine shapes from 2D AP DXA. The main technical advance lies in the 2 separate orthogonal planes (sagittal and coronal) curve regression of the spine from a 2D image. We then show through these curves, we can recover 3D geometry of the spine which is beneficial for scoliosis.
R3-W2: âRobustness of the method when used with external data is not clarifiedâ. Unfortunately, we do not have access to an external paired dataset of whole-body MRI and DXA scans. From experience, little to no adaptation would be needed in terms of data pre-processing. We will make our code publicly available with documentation to test on external data.
R3-W3: âThe paper looks somewhat incomplete, since the accuracy of the predicted curves is not analyzed in 3D (except for the plot in Supplementary).â This would be a good addition. We have labels for 3D spine masks on the MRI, and will add the 3D evaluation to the final version of the paper.
R4:âLiterature comparisonâ. We will cite the two papers. Note, however, that we use direct regression while the references fit 3D shape models.
R1&R4 :âDual Alignmentâ. This two-stage alignment procedure is crucial, as a significant proportion of the MRI and DXA do not have spines aligned after the first global alignment stage. Note, alignments often proceed iteratively, even under the  same transformation. The rough stage is the global alignment of MRI to DXA, and the second finer stage is the MRI spine to DXA spine alignment using spine-labels, this is explained in the last 2 paragraphs of section 2.2.

We will address all the minor points listed in the reviews in the final version.

[1]. Courvoisier et al. EOS 3D Imaging: assessing the impact of brace treatment in adolescent idiopathic scoliosis. Expert Review of Medical Devices, 11(1), 2014. 
[2] Heidari et al. Hiformer: Hierarchical multi-scale representations using transformers for medical image segmentation. WACV, 2023.
[3] IllÃ©s et al. The third dimension of scoliosis: The forgotten axial plane.OTSR, 2019."
https://papers.miccai.org/miccai-2024/002-Paper1908.html,"Dear Reviewers and Area Chairs,

We appreciate the reviewersâ valuable comments and are encouraged by their acknowledgment of the novelty of our two-stage diffusion model (R1, R3, R4), which effectively handles cycles addressing the limitation of previous tree-based methods (R1). We are humbled by their remark on a well-motivated work with well-thought-out design choices (R4), well-designed experiments (R3, R4) with clear results (R3, R4), and good performance on two real-world datasets (R4). Below, we address the raised concerns.

Motivation & Downstream Tasks (R1, R4): Synthetic vessel graph generation is an important topic [20, 22] and can augment real datasets, where annotating large-scale samples is expensive (CoW) and tedious (VesSAP) for downstream tasks, such as blood flow simulation [21], vessel labeling, and synthetic image-label pairs for segmentation [10, 14]. Previous studies have demonstrated improved downstream performance [10] when generated graphs capture real data distribution. Our analysis (Tab 1, Fig. 4) shows that our model captures the underlying distribution well in terms of various graph and topology properties, ensuring the usefulness of the generated samples. We have now included this point in our manuscript.

SOTA Comparison (R1, R3): Kindly note that it is challenging for us to identify a SOTA baseline since no concrete references to prior work were pointed out beyond our SOTA baselines [24, 25]. Below, we answer, to the best of our ability, why we believe our comparison is fair. We aim to develop a generative model for complex vessel graphs, including cycles. Notably, previous SOTA vessel generation models [20, 22] can only generate tree structures and NOT anatomically meaningful cycles. Hence, these models are fundamentally NOT APPLICABLE as a baseline to the datasets considered in our paper. Nevertheless, CoW resembles a benzene molecule-like ring, and we could interpret VesSAP samples as a collection of molecules. Hence, we compare against SOTA molecule generation methods [24, 25], which can handle cycles. @R3, please note that both baselines [24, 25] and our model consist of permutation equivariant layers, making it a fair comparison.

MICCAI Suitability (R3): Although some large arteries and veins resemble tree-like structures, the human circulatory system also contains cycles at the capillary level and in anastomotic structures (CoW). Hence, we respectfully disagree with R3 on explicitly enforcing tree-like characteristics as it will hamper cycle generationâa limitation of previous works [20, 22]. The complex structures (trees and cycles) make it difficult to determine the complete topological characteristics of a vascular graph accurately, and incorporating inadequate inductive bias would limit the modelâs capabilities. Instead, we opt for a data-driven approach without hand-crafted heuristics, and we make the following design choices to facilitate data-driven learning.

Although our method can not generate vessels if the training data is not vascular (a limitation of any data-driven approach), it can model complex topological structures, including arteries, veins, and capillaries, as shown in its performance on two real vessel datasets (Tab. 1), which is of interest to MICCAI community.

Metrics (R4): We acknowledge that the current literature lacks a ready-to-use metric to evaluate the anatomical plausibility of the vessel graphs. Hence, we opt for well-established topology and graph-structure metrics from vessels [4, 29] and molecules [25] for our evaluation.

Misc: @R3, we have included significant digits in Tab. 1. @R4, our models were trained from scratch on specific datasets. We have added baseline details and clarified other textual concerns."
https://papers.miccai.org/miccai-2024/003-Paper1001.html,"We thank the reviewers for their highly constructive and positive feedback. We focused on exploring the proposed dual-face depth and the CASI loss (which are this paperâs main contributions/novelty) together with the medical application. We understand the paper lacked details on 3D reconstruction, shape evaluation, and the SSM model.

Details about the 3D reconstruction (R1, R3):
When converting an estimated depth map to a point cloud, we created the rays based on the detector size and the source-to-detector distance (SDD) recorded in the DICOM header, assuming a pinhole camera with a regular viewing frustum without the skew. The SDD is a major factor in determining geometry. For hip X-ray imaging, the SDD of 120 cm is defined as the international standard in [10]. There can be flexibility in this imaging geometry (i.e., the position of the X-ray source relative to the detector)as the operators manually set the X-ray source. Thus, accurate geometry is not measurable unless time-consuming geometric calibration is used, which is not actually performed in clinical routines. Our 600-patient (2565 X-ray image) dataset was acquired in this fashion over more than five years in clinical routine by many and varied operators. Despite this, we demonstrate high 3D reconstruction accuracy in our cross-validation experiment, demonstrating high robustness against the small geometry variation due to the human operator in training and testing datasets. Since the term âfixed-geometryâ is confusing, we will change it to âstandard-geometryâ throughout the paper.

Our Figures had two major problems that confused the readers (R1, R3). First, the color map of the back-face depth map was inverted. We will correct this. Second, the G_c in Figure 1 was depicted as a neural network to show the implementation-agnostic nature, but it was unclear since our actual implementation used the SSM. Although some advanced neural networks can be applied in theory, we chose the fundamental/simple SSM-based 3D completion so that the reader can focus on our main points: the dual-face depth and CASI loss. We will correct the image for G_c in the revised paper.

Q1 (R1): the quality of the 3D surface reconstruction (boundary) could be affected by the segmentation result.
A1: We agree on this. Although our segmentation model showed high accuracy (0.988 dice indicated in Section 3), the segmentation performance degraded for the diseased patients. The revised paper will discuss the effect of segmentation performance.

Q2 (R1): It would be interesting to talk/report some examples of cases with larger errors.
A2: We will report those cases in the supplemental materials in the revised paper.

Q3 (R3): The details for the creation of the SSM are needed.
A3: We applied a four-fold cross-validation (mentioned in Section 3), which means four SSM models. We used the same cases (common training dataset) for training the depth map estimations and SSMs; thus, there was no contamination.

Q4 (R3): How is the 3D reconstruction registered to the CT ground truth to obtain error metrics?
A4: This is an important point. We aligned the depth center of the prediction (with or without SSM-based shape completion) to the ground truth shape, i.e., adding a shift in the Z direction before calculating the error in order to evaluate the reconstructed shape while ignoring the absolute distance from the X-ray source which is not possible to measure due to the manual variability mentioned above.

Q5 (R3): Reporting the mean and median error rather than the mean and standard deviation is highly irregular.
A5: The revised paper will report the mean and standard deviation.

Q6 (R4): I would be very curious how the modelâs reconstructions compare to the closest pelvis in the training set.
A6: In the revised paper, we will report the results using the closest shape in the training dataset.

Other comments:
The revised paper will improve the organization of the sections (R1) and the formulas (R3, R4)."
https://papers.miccai.org/miccai-2024/004-Paper0132.html,"We sincerely thank AC and all reviewers for their time and efforts to give useful comments. We below clarify the main concerns (C) first, and then reply to other questions (Q). We will revise the paper carefully to address all comments.

C: (@R1\&R4) Lacking comparison with other methods.

A: In fact, we are eager to compare with existing works, but they do not release the source codes. Moreover, we observe that they only compared between their proposed different versions [3, 11, 13, 15]. Besides, due to the properties of tumors, AE values vary greatly in different cases. Since they do not provide the specific testing CASE IDs, we could only compare our plans A-C.

Particularly, compared coarsely with [13] on LiTS, where their average AE is 60.02, our AE result (62.53) of Plan C is better. Note again that the comparison is really meaningless as the case IDs do not match since their case IDs are unknown. 
Further, in terms of the methodology, we have provided an advantageous analysis of our method in the introduction, compared with recent methods.

Q1: (@R1) The planning efficiency problem.

A: The proposed Plans A-C are independent and do not require the sum of computation times.
The computation time depends on the case complexity. Particularly Plan C takes 21-43 minutes, which is comparable to recent optimization-based methods [11, 13].
Besides, the efficiency of our method has considerable room for improvement.

Q2: (@R1) Insufficient test data.

A: Our current version focuses on radical tumor ablation, which clinically requires the tumor to be smaller than 50mm and limits our choice of LiTS. Besides, we have referred to several papers [11, 13, 15], and they also conduct experiments on a limited number of 10-15 patients. Moreover, since our method is optimization-based and independent of tumor shape, the result is reliable. We will show the results of more cases along with our code.

Q3: (@R3) The potential impact and broader applicability.

A: Except for the liver tumor cryoablation, our method can be directly generalized to kidney and other tumor ablation. Further, our method is modality-agnostic and can be applied to other modalities, e.g. MRI.

Q4: (@R4) The vesselsâ location should be considered.

A: Our method has considered the conflict between ablation zones and vessels via segmentation. Specifically, we integrate vessel masks in L_overlay and L_probe, avoiding vessels existing in the ablation zones and probe trajectories.

Besides, our current version is based on TotalSegmentator [21], which can segment some liver vessels and can be improved via clinical doctors to include more accurate vessels that potentially affect the operation.

Q5: (@R5) Clarifying whether the single-case treatment was conducted by Plan C.

A: The treatment was conducted empirically by clinical doctors, not based on Plan C. Comparisons on the IH dataset are performed to validate our plans. Especially the metric IoU quantitatively indicates the overlaps between empirical zones and our optimized zones.

Q6: (@R5) The concept of âprobe interactivityâ needs clarification.

A: Thanks for clarifying the definition of probe interactivity, which is exactly what we want to express.

In our method, we intend to model the probe/ablation zones with parameterized Gaussians/ellipsoids. In this manner, the interaction between ellipsoids represents the corresponding probe interactivity, which can be optimized automatically with our method.

Q7: (@R5) The reproducibility of the method.

A: We have tried our best to give the implementation details for reproducing. To understand Eq. (2) and other equations clearly, we have clarified the meaning of each variable following each equation and provided the values of thresholds we used in Section 3.And, we will release our code for usage later.

Besides, we will accordingly modify our paper, e.g. giving the full name Khachiyanâs Algorithm (KA) on Page 2. (@R5)"
https://papers.miccai.org/miccai-2024/005-Paper1015.html,"We appreciate the reviewersâ comments and insightful suggestions, especially some thought-provoking proposals (R3,R4). We thank for the acknowledgement of the interest(R1), novelty(R3,R4), organization(R3,R4), and impressive experimental results(R4) of our paper. Our responses are as follows:

3DGS-FBP CLARITY
R1-Q2: we clarify that for 3DGR-FBP, the Gaussian Centers (GC) derived from FBP introduce increasing noisy initialization as the number of views decreases, and much of this noisy GC canât be eliminated during the optimization process, leading to a decline in 3DGR-FBP performance. In contrast, for 3DGR-GCP, the GCP moduleâs prediction of a rough coronary sparse point cloud significantly reduces the introduction of non-coronary geometric GC, enhancing reconstruction quality even with fewer views.
R4-Q1&Q3: We calculated the proportion of GC close to 3D artery centerlines in the ImageCAS test set. We found that the ratio of 3DGR-GCP based on a single view is 21.78%. For 3DGR-FBP with 2,4,8,16 views, the percentages are 17.73%, 21.52%, 28.18%, and 34.72%. This confirms the earlier explanation. As the number of views increases, the reconstruction quality of 3DGR-GCP ranges from significantly better than 3DGR-FBP to nearly identical.
R4-Q1& R3-Q3: We will add 3DGR-FBP to Fig. 3 and 4 and release the code, data and checkpoints.

EXPERIMENT
R1-Q5: Lacking of arteries data with precise 3D labels, we focus on methods that require no external annotated data for training. Traditional methods such as FBP cope poorly with sparse view problems. Because Implicit Neural Representations use a continuous 3D representation to model scenes and are trained through view-consistency, they achieve good 3D reconstruction even with limited views and serves as good baselines. Therefore, we conducted extensive experiments on the FBP and NeRP methods. Additionally, we tried NAF[1], which improved results over NeRP when views exceeded two, but still conform to our conclusions. For voxel DSC metrics, NAF: 0.29-0.66-0.79-0.89; Ours: 0.70-0.89-0.92-0.92. This reinforces our confidence that 3DGS delivers SOTA results in reconstruction from ultra-sparse views without requiring 3D labels.
[1] NAF: Neural Attenuation Fields for Sparse-View CBCT Reconstruction, MICCAI 2022.
R3-Q4: We extended FBP with orthogonality constraints for views consistency, and the results still showed artifacts similar to FBP. As suggested by the idea in the work of Unberath et al., using epipolar consistency helps improve segmentation quality, which we believe opens the path for us to add regularizations between projections to the 3DGS and GCP module, enhancing reconstruction performance.

CLINIC
R3-Q1: Our study is essentially an exploration of the limits of reconstructing 3D arteries by a minimal number of X-ray views. In future clinical practice, autonomous scanning might reduce physician intervention, and our method holds great promise.

DETAILS
R1-Q1&Q3: We will revise some indirect expression such as Sec-2.1âs subheading to â3DGR Reconstructionâ, Sec-2.2âs to âGaussian Center Predictor Trainingâ and complex sentences.
R1-Q4: Considering that only GCP requires training, it is reasonable to use most of the ImageCAS dataset for training GCP and to select 20 random samples for validating the comparative methods. Since none of the comparison methods require external training data, and the results on the 40-sample ASOCA dataset are also similar, this corroborates that we did not selectively choose 20 samples for testing.
R3-Q2: For 2-views, the interval is Ï/2. 4-viewsâÏ/4, 8-viewsâÏ/8, and so on.
R4-Q2: The time cost is labeled as âTrainâ in Fig. 1. We will include âTime costâ details in caption.
R4-Q4: Quite promising. Artifacts and noise present in real contrasted X-ray (from other tissue), might impact the reconstruction results. Notably, 3DGS focuses on the instance itself, avoiding the issue of distribution shifts between real and synthetic data."
https://papers.miccai.org/miccai-2024/006-Paper2442.html,"Reviewer #1
Q6&Q10-2: Missing comparison with baseline hybrid models
A: We did compare our model with UNETR, a hybrid transformer-CNN architecture in the paper. Unfortunately, we accidentally omitted the UNETR reference, which has now been corrected. 
Q10-1: Extend method to other cross-dimension transfer work like X2CT-GAN [1]?
A: Yes, the proposed method can be extended to X2CT-GAN by substituting the decoder blocks with hybrid MLP-CNN blocks and adding in the intermediate guidance. In general, variants of the encoder-decoder structures would be compatible with our techniques. In future work, we will conduct experiments to demonstrate this capability. 
Reviewer #3
Q6-1: Clinical PX images usually have resolution over 900 Ã 1500. Synthesized PX images are of size 128 Ã 256. 
A: The straightforward solution to the resolution discrepancy is to down-sample the clinical or synthesized PX when the method is applied. It is a common strategy to improve calculation effectiveness across the X-ray analysis domain [1] (X2CT-GAN). In future work, we propose to fill the information gap between the synthesized PX and clinical PX by exploring domain adaption methods with realistic CBCT resampling methods to simulate the clinical PX resolution. 
Q6-2: understandability / explainability of features. Incremental output feature map to follow the downscaled Y.
A: The manipulation of intermediate features is the core concept of the proposed progressive guidance. In the general concept of most deep learning tasks, e.g., classification and regression, the networks are trained to focus on the high-level semantic features that are abstract because it should âunderstandâ the scene to make predictions. However, the 2D-to-3D task is with a straightforward target, consistent throughout the reconstruction process in the shallow or deep layers.
Q9: Progressive Guided Reconstruction (PGR) requires more detailed information about the scaled label Y. 
A: As suggested, we have clarified the details of the PGR as follows: the intermediate guidance denoted by red arrows in Fig 2 is scaled label Y. In every layer of the encoder and decoder, the label Y was reshaped into the size of the intermediate feature for a proper comparison.
Q10-1: Typographical errors.
A: We have corrected the errors and carefully proofed the paper.
Q10-2: SSIM loss can be used to learn structural information [2] (Zhao, Hang, et al). 
A: As suggested, we will consider SSIM as part of the loss function in our future experiment.
Q10-3: Embedding the diffusion process at the high-level feature (orange arrow in Fig 2), which can improve the volume stability and quality after reconstruction [3] (Croitoru, Florinel-Alin, et al). 
A: As suggested, we will investigate the diffusion process further in our 2D-to-3D reconstruction tasks in future work. Thanks!
Reviewer #4
Q6 & Q10-1 & Q10-3: The paper is difficult to follow regarding the missing references in Tables 1 and 2. 
A: The missing reference for UNETR and unclear information for MLP-Unet has now been clarified. MLP-Unet is a custom-built Unet with MLP blocks for comparison and, therefore, there is no reference for it. The methods without reference in Table 1 are also custom-built for comparison. The reference has been updated accordingly and the description for custom-built comparison methods has been clarified.
Q10-2: Disconnect between DSC for UNet-based models consistently increase alongside PSNR and SSIM. 
A: The discrepancy arises because PSNR and SSIM measure different aspects of model performance compared to DSC. While Residual-based models may produce images that are perceptually and pixel-wise closer to the ground truth (higher PSNR and SSIM), they might not be as effective at precise segmentation (lower DSC) compared to UNet-based models, which are specifically designed for segmentation tasks. We will add a statement to this effect in the revised paper."
https://papers.miccai.org/miccai-2024/007-Paper2090.html,"Thanks to reviewers for their time and insightful comments. They found our work is novel (R4), well-organized (R1,R4,R5) and effective (R1,R4,R5), but also pointed out some issues. We will clarify the main points:
1.Details of methods.
We will release the code after acceptance to provide more details.
Q1:Training and inference(R1). During training, we conducted iterative training. Specifically, when training t slice, we first selects the previous n (random from 1-3) slices for iterative inference to obtain the token_his of t slice. Since our model is a slice-based method and token_his is shared and fixed in length, our model can flexibly deal with 3D volumes with different number of slices. 
Q2:Default query in t=0(R1,R5). Since there is no previous slicing result to initialize the query at t=0, we additionally define a learnable default query to make the initial prediction. Default query is actually the same as object query in DETR, and both are the learnable embedding vectors and optimized during training. In addition, we also tried to use a centered box directly to initialize the query at t=0, but the result shows that the learnable default query works better.
Q3:bbox prompt in begging slice(R1,R5). Our entire segmentation framework is fully automated without any human interaction. As mentioned in Q2, we use default query to predict the bbox prompt in the beginning central slice(t=0).
Q4:Inter-slice attention(R1,R5). For inter-slice attention, the self-attention is performed on the features of slices at t-1,t,t+1. Leveraging the continuity of targets in 3D medical images, we compute the attention only between features at the same spatial position across slices, effectively reducing computational complexity, as illustrated by the yellow patches in Figure 1.
Q5:Semantic embedding and information filter(R1). The semantic embedding is intended to allow each query to perceive the category for which it is responsible. Specifically, we add a corresponding learnable semantic token for each query separately. These semantic tokens are randomly initialized and optimized during training. For the information filter, it consists of MLP and Normalization, aiming at remaining the global inherent information and filter out redundancy.
Q6:Global 3D-aware(R1). We found that longer token sequences did not significantly improve performance in experiment. Because of the continuity of 3D medical images, the global feature information of model learning is relatively stable. Therefore, too large a historical information token will lead to redundancy.
Q7:LoRA(R5). Thanks for your suggestion. Indeed, we should briefly introduce the LoRA technique to make readers understand.
2.Experiment.
Q1:3D model comparison(R1). In fact, with our proposed 3D-aware strategy, our method is still competitive compared with the advanced 3D model. We will compare these methods in further work.
Q2:Comparison methods details(R4). Specifically, we follow the basic configuration parameters and training pipeline provided by the comparison methods.
Q3:Ablation study on global 3D aware+prompt generation(R1). Due to space constraints, we did not show the complete results of the ablation study, and we will refine them in further work. 
Q4:Ablation study on slice attention(R5). For the ablation study on the inter and intra slice attention component, we use Local 3D-aware to represent this component in Table 4. Due to space constraints, we do not show the ablation results for each component, and we will refine them in further work.
Q5: Comparison in the test set(R4). Because the test sets of these datasets do not provide labels, it is difficult to compare them directly in the test sets.
Q6:runtime and memory(R4). It is unfair to directly compare the runtime and memory in this paper. Our methodâs advantage is fully automatic, while other SAM variants need manual prompts.
3.Writing.
Q1:Writing(R5).We will check and revise the full text for writing problems."
https://papers.miccai.org/miccai-2024/008-Paper3648.html,"We thank the reviewers for their insightful feedback. In our edit, we will add a link for the code repository and reduce the use of passive tense in the writing.

Reviewers mentioned that the dataset size is limited. Due to the cost of collecting 3T and 7T images on the same subject, small data size is a common limitation in any other study that tries to enhance clinical 3T T1-weighted MRIs to their 7T counterparts [2, 3, 21, 26]. To combat this, we harmonize a publicly available 3T-7T MRI dataset with healthy subjects to augment our pathology rich TBI dataset.

Reviewers mentioned that additional benchmarks are warranted and an evaluation from clinicians would be valuable. In this study, we only compare against the WATNet Benchmark because [21] documents several comparisons to past works doing the same task. This established WATNet as the state-of-the-art benchmark for our task. While we can provide another benchmark to augment our argument, the primary comparison would remain between our proposed method and the WATNet benchmark. Considering the space limitation, we believe an additional benchmark is auxiliary, rather than essential. Regarding clinical evaluations, we are pursuing this for a future study, but would not have the space to include it in this submission.

Reviewer 4 suggests we cite two additional references [Karayumak-2018, and Lin-2023] and states that our contributions are very similar to [Lin-2023]. We will cite [Karayumak-2018] in our background section. We would like to point out that [Karayumak-2018] worked with diffusion images whereas we work with T1-weighted images. Similarly, [Lin-2023]âs task is fundamentally different from ours since they enhanced low field (0.36T) to 1.5/3T MRI, and they did this via a low-field image simulator that down-sampled a high-field image. While [Lin-2023]âs training strategy tried to predict real high-field MRIs from synthetic low-field MRIs, our work predicts real ultrahigh-field MRI from real high-field MRIs. Our 3T to 7T synthesization task is clinically valuable because pathological features at 7T have structural implications (i.e. central vein sign in multiple sclerosis lesions) that 3T MRIs often miss. Therefore, it is valuable to probe the translation from pathologies in real 3T scans to corresponding real 7T scans. This also differs from [Lin-2023]âs approach, where the low-field input is synthetically generated and displayed pathological features very coarsely. Space permitting, we will discuss [Lin-2023] in our background section. However, we do not believe their contributions directly overlap with our work.

Reviewer 5 points out we do not justify modifying the transposed convolutions to nearest neighbor upsampling. We agree and will add an explanation in our edit. The reason we make this architectural change is because transposed convolutions often lead to âcheckerboardâ artifacts in the model output, as documented in (Odena, et al., 2016). This artifact can be reduced by using nearest neighbor upsampling instead of transposed convolutions. During preliminary testing, we observed that this was indeed the case, and we decided to use nearest neighbor upsampling in our model implementation.

Additionally, reviewer 5 mentions a concern for over-fitting. We are aware of this and utilize cross-validation to more comprehensively evaluate the modelâs ability to generalize. We discuss our cross-validation approach under the dataset section in Experimental Design. We have realized how this can be confusing and will move it to the evaluation section. We also indicate the cross-validation results in Fig. 2 and Fig.4, where the individual data points represent model performance in one cross-validation fold. We realize this is not explicitly stated and will make edits accordingly.

Reference:
Odena, et al., âDeconvolution and Checkerboard Artifactsâ, Distill, 2016. http://doi.org/10.23915/distill.00003"
https://papers.miccai.org/miccai-2024/009-Paper0219.html,"We thank all reviewers for their valuable feedback and constructive comments. We present our responses to reviewersâ concerns and comments below.
R1Q1: Technical novelty and the differences compared to the previous method.
A: Similar to the previous Bayesian method for semi-supervised segmentation, our work models p(x,y) using a general Bayesian formulation. However, we tailor our approach to address weakly-supervised learning with sparse annotations, distinguishing our focus and application. Besides, a significant technical distinction lies in how we model p(yâ£x,z). Specifically, we integrate a conditional random field (CRF) that characteristics a Gibbs distribution into our Bayesian framework, differing in the optimization target and loss function from the previous method. This novel Bayesian formulation has demonstrated superiority in handling weakly-supervised laparoscopic image segmentation compared to other non-fully Bayesian approaches, indicating its efficacy and innovation in this specific domain.
R1Q2: Comparison of testing time for various methods.
A: U-Net was applied as the backbone architecture for all methods for comparison in our study. Our proposed method incorporates Monte Carlo dropout (MCDP), necessitating T forward passes to model uncertainty estimation. Thus, with the increase of MCDP times T, our method would consume more time during testing than other methods that require a single forward pass. We acknowledge this limitation and recognize the need for future optimization efforts.
R1Q3: Inconsistency of symbols.
A: We apologize for any confusion caused by typos regarding the symbols used in figures and text. These inconsistencies will be corrected in the final version of the manuscript.
R3Q1: Clarification of label merging in Section 2.2.
A: We apologize for the initial lack of clarity. This process involves a binary mask operation. Specifically, we create binary masks (denoted by \Gamma) based on weak labels y^s, where the value â0â represents the labeled region and â1â represents the unlabeled region in y^s. The final labels y is then generated by y = (1 - \Gamma) \odot y^s + \Gamma \odot y (\odot indicates element-wise multiplication). This operation allows us to make use of these accurate sparse annotations from y^s to further improve the quality of generated pseudo-labels. More details will be provided in the final version of the manuscript, and our code will be available for further reference.
R4Q1: Simulation of sparse annotations.
A: Yes, we simulated sparse annotations due to the lack of real weak labels and recognize this as a limitation. Applying our method to more datasets with real weak labels is regarded as an aspect of our future work. Additionally, we encourage both ourselves and the community to contribute datasets featuring real weak labels to support subsequent research in this field.
R4Q2: Reproducibility.
A: We will release our codes and simulated labels to facilitate reproducibility and further research."
https://papers.miccai.org/miccai-2024/010-Paper2774.html,Thank you for approving our work. We are deeply grateful for your constructive feedback and will refine the article according to your insightful suggestions.
