Paper URL,Reviewer,Pre-rebuttal Score,Post-rebuttal Score
https://papers.miccai.org/miccai-2024/001-Paper1861.html,Reviewer 1,2,4
https://papers.miccai.org/miccai-2024/001-Paper1861.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/001-Paper1861.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/002-Paper1908.html,Reviewer 1,3,N/A
https://papers.miccai.org/miccai-2024/002-Paper1908.html,Reviewer 2,3,N/A
https://papers.miccai.org/miccai-2024/002-Paper1908.html,Reviewer 3,5,5
https://papers.miccai.org/miccai-2024/003-Paper1001.html,Reviewer 1,3,5
https://papers.miccai.org/miccai-2024/003-Paper1001.html,Reviewer 2,3,4
https://papers.miccai.org/miccai-2024/003-Paper1001.html,Reviewer 3,4,5
https://papers.miccai.org/miccai-2024/004-Paper0132.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/004-Paper0132.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/004-Paper0132.html,Reviewer 3,4,3
https://papers.miccai.org/miccai-2024/004-Paper0132.html,Reviewer 4,4,4
https://papers.miccai.org/miccai-2024/005-Paper1015.html,Reviewer 1,3,4
https://papers.miccai.org/miccai-2024/005-Paper1015.html,Reviewer 2,4,4
https://papers.miccai.org/miccai-2024/005-Paper1015.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/006-Paper2442.html,Reviewer 1,4,N/A
https://papers.miccai.org/miccai-2024/006-Paper2442.html,Reviewer 2,4,N/A
https://papers.miccai.org/miccai-2024/006-Paper2442.html,Reviewer 3,5,N/A
https://papers.miccai.org/miccai-2024/007-Paper2090.html,Reviewer 1,3,5
https://papers.miccai.org/miccai-2024/007-Paper2090.html,Reviewer 2,3,3
https://papers.miccai.org/miccai-2024/007-Paper2090.html,Reviewer 3,4,4
https://papers.miccai.org/miccai-2024/008-Paper3648.html,Reviewer 1,3,3
https://papers.miccai.org/miccai-2024/008-Paper3648.html,Reviewer 2,4,5
https://papers.miccai.org/miccai-2024/008-Paper3648.html,Reviewer 3,4,5
